id	text
1	coffee algorithm
2	avocado spaceship
3	robot banana
4	gravity vacation
5	unicorn deadline
6	chair internet
7	cloud pizza
8	teacher hamster
9	mirror potato
10	fork meteor
11	British Museum announces discovery of mysterious sealed chamber
12	Scientists confirm octopuses can detect sound through their skin
13	Local cat becomes security guard at small bookstore
14	New study claims laughter boosts memory retention by 40 percent
15	AI-written cookbook accidentally includes self-destruct recipe
16	Research team trains bees to play simple ball games
17	Subway passenger attempts to pay fare using a sandwich
18	Experts warn that Mars dust storms may interfere with future rovers
19	Mountain rescue team saves stranded hiker and his inflatable llama
20	Scientists discover tiny frog species that sounds like a squeaky toy
21	laptop pillow
22	quantum refrigerator
23	chocolate telescope
24	wifi dolphin
25	moon bicycle
26	virus cookie
27	teacher avocado
28	quantum sandwich
29	festival robot
30	penguin engine
