id	url	prompt
1	https://media.giphy.com/media/ICOgUNjpvO0PC/giphy.gif	Cat discovered attempting to run its own tech startup
2	https://media.giphy.com/media/l0HlOvJ7yaacpuSas/giphy.gif	Scientists warn that coffee consumption may cause spontaneous dancing
3	https://media.giphy.com/media/3oEjI6SIIHBdRxXI40/giphy.gif	Office worker breaks world record for slowest reaction time
4	https://media.giphy.com/media/xTiTnqUxyWBSYJ5jw8/giphy.gif	Local dog refuses to participate in Monday mornings
5	https://media.giphy.com/media/6brH8dM3zeQPC/giphy.gif	New fitness trend encourages exercising only while falling over
6	https://media.giphy.com/media/13borq7Zo2kulO/giphy.gif	Experts confirm that hamster circles are not effective transportation
7	https://media.giphy.com/media/l0Exk8EUzSLsrEr6M/giphy.gif	Study shows that 90% of dinosaurs would fail modern job interviews
8	https://media.giphy.com/media/26tPoyDhjiJ2g7rEs/giphy.gif	Robot uprising delayed due to low battery
9	https://media.giphy.com/media/d31vTpVi1LAcDvdm/giphy.gif	Scientists reveal that squirrels hoard snacks for “emotional reasons”
10	https://media.giphy.com/media/26gJAUu8h1YyqS20w/giphy.gif	Local weather forecast predicts dramatic overreactions
