id	text
1	café algoritmo
2	aguacate nave
3	robot plátano
4	gravedad vacaciones
5	unicornio fecha
6	silla internet
7	nube pizza
8	profesor hámster
9	espejo patata
10	tenedor meteorito
11	El Museo del Prado anuncia la restauración de una obra perdida
12	Científicos confirman que los pulpos perciben vibraciones sutiles
13	Gato callejero se convierte en guardián de una biblioteca local
14	Nuevo estudio sugiere que el humor mejora la memoria un 40%
15	Libro de recetas escrito por IA incluye instrucciones absurdas
16	Investigadores entrenan abejas para resolver pequeños acertijos
17	Pasajero intenta pagar el transporte público con un bocadillo
18	Expertos alertan de tormentas de polvo en Marte más intensas
19	Equipo de rescate salva a excursionista y a su llama inflable
20	Descubren rana diminuta cuyo sonido parece un juguete chirriante
21	ventana tornado
22	helado teléfono
23	bicicleta galaxia
24	pingüino motor
25	astronauta pizza
26	científico hamburguesa
27	martillo arcoíris
28	paraguas robot
29	festival satélite
30	estrella lápiz
